회사명,재무기준일,평가종류,직전등급,직전Outlook,현재등급,현재Outlook,기준통화,평가일,리포트,Type
교보생명보험,2020.12.31,본,AAA,안정적,AAA,안정적,원화/외화,2021.06.24,S,보험금지급능력평가
서울보증보험,2020.12.31,본,AAA,안정적,AAA,안정적,원화/외화,2021.06.24,S,보험금지급능력평가
삼성생명보험,2020.12.31,정기,AAA,안정적,AAA,안정적,원화/외화,2021.06.23,S,보험금지급능력평가
한화생명보험,2020.12.31,정기,AAA,부정적,AAA,부정적,원화/외화,2021.06.23,S,보험금지급능력평가
한화손해보험,2020.12.31,정기,AA-,안정적,AA-,안정적,원화/외화,2021.06.22,S,보험금지급능력평가
흥국생명보험,2020.12.31,본,AA,안정적,AA,안정적,원화/외화,2021.05.28,S,보험금지급능력평가
푸르덴셜생명보험,2020.12.31,정기,AAA,안정적,AAA,안정적,원화/외화,2021.05.18,S,보험금지급능력평가
케이비생명보험,2020.12.31,정기,AA-,안정적,AA-,안정적,원화/외화,2021.05.12,S,보험금지급능력평가
농협손해보험,2020.12.31,정기,AA-,안정적,AA-,안정적,원화/외화,2021.05.11,S,보험금지급능력평가
롯데손해보험,2020.12.31,정기,A,부정적,A,부정적,원화/외화,2021.05.11,S,보험금지급능력평가
메리츠화재해상보험,2020.12.31,정기,AA+,안정적,AA+,안정적,원화/외화,2021.05.07,S,보험금지급능력평가
하나손해보험,2020.12.31,본,A-,안정적,A-,안정적,원화/외화,2021.05.07,S,보험금지급능력평가
현대해상화재보험,2020.12.31,정기,AAA,안정적,AAA,안정적,원화/외화,2021.05.07,S,보험금지급능력평가
DB손해보험,2020.12.31,본,AAA,안정적,AAA,안정적,원화/외화,2021.04.20,S,보험금지급능력평가
흥국화재해상보험,2020.12.31,본,A+,안정적,A+,안정적,원화/외화,2021.04.09,S,보험금지급능력평가
롯데손해보험,2019.12.31,수시,A,안정적,A,부정적,원화/외화,2021.02.16,S,보험금지급능력평가
한화생명보험,2019.12.31,본,AAA,부정적,AAA,부정적,원화/외화,2021.01.29,S,보험금지급능력평가
롯데손해보험,2019.12.31,본,A,안정적,A,안정적,원화/외화,2021.01.15,S,보험금지급능력평가
현대해상화재보험,2019.12.31,본,AAA,안정적,AAA,안정적,원화/외화,2021.01.15,S,보험금지급능력평가
한화손해보험,2019.12.31,본,AA-,안정적,AA-,안정적,원화/외화,2020.12.24,S,보험금지급능력평가
삼성생명보험,2019.12.31,본,,,AAA,안정적,원화/외화,2020.11.23,S,보험금지급능력평가
푸르덴셜생명보험,2019.12.31,본,,,AAA,안정적,원화/외화,2020.10.28,S,보험금지급능력평가
메리츠화재해상보험,2019.12.31,본,AA+,안정적,AA+,안정적,원화/외화,2020.10.23,S,보험금지급능력평가
농협손해보험,2019.12.31,본,,,AA-,안정적,원화/외화,2020.10.16,S,보험금지급능력평가
케이비생명보험,2019.12.31,본,,,AA-,안정적,원화/외화,2020.09.28,S,보험금지급능력평가
